#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=267 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:50.94 aq:40.14 tex:84612 mv:33060 misc:344 imb:8160 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:52.92 aq:47.37 tex:1487 mv:2056 misc:1161 imb:106 pmb:128 smb:7926 d:- ref:0 ;
in:3 out:2 type:P dur:2 cpbdur:2 q:52.88 aq:44.75 tex:3420 mv:2996 misc:1360 imb:203 pmb:170 smb:7787 d:- ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:52.90 aq:47.82 tex:577 mv:1981 misc:1122 imb:18 pmb:208 smb:7934 d:- ref:0 ;
in:7 out:4 type:P dur:2 cpbdur:2 q:52.87 aq:46.42 tex:6323 mv:4173 misc:1488 imb:453 pmb:150 smb:7557 d:- ref:0 ;
in:5 out:5 type:B dur:2 cpbdur:2 q:52.87 aq:46.91 tex:1071 mv:2921 misc:1440 imb:55 pmb:277 smb:7828 d:- ref:0 ;
in:4 out:6 type:b dur:2 cpbdur:2 q:52.87 aq:47.36 tex:666 mv:2403 misc:1227 imb:23 pmb:227 smb:7910 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:52.87 aq:47.04 tex:693 mv:2077 misc:1174 imb:27 pmb:193 smb:7940 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:52.89 aq:47.10 tex:2482 mv:2488 misc:1358 imb:183 pmb:138 smb:7839 d:- ref:0 ;
in:11 out:9 type:P dur:2 cpbdur:2 q:52.89 aq:45.99 tex:4818 mv:3179 misc:1451 imb:312 pmb:146 smb:7702 d:- ref:0 ;
in:9 out:10 type:B dur:2 cpbdur:2 q:52.89 aq:46.12 tex:809 mv:1929 misc:1158 imb:28 pmb:200 smb:7932 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:52.89 aq:47.58 tex:561 mv:1774 misc:1049 imb:26 pmb:163 smb:7971 d:- ref:0 ;
in:14 out:12 type:P dur:2 cpbdur:2 q:52.95 aq:44.24 tex:4493 mv:3114 misc:1425 imb:334 pmb:132 smb:7694 d:- ref:0 ;
in:12 out:13 type:B dur:2 cpbdur:2 q:52.91 aq:46.58 tex:776 mv:2170 misc:1246 imb:45 pmb:207 smb:7908 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:52.93 aq:47.09 tex:468 mv:1873 misc:1083 imb:36 pmb:175 smb:7949 d:- ref:0 ;
in:17 out:15 type:P dur:2 cpbdur:2 q:52.99 aq:43.90 tex:4474 mv:2882 misc:1428 imb:302 pmb:131 smb:7727 d:- ref:0 ;
in:15 out:16 type:B dur:2 cpbdur:2 q:52.96 aq:46.08 tex:770 mv:1732 misc:1082 imb:29 pmb:171 smb:7960 d:- ref:0 ;
in:16 out:17 type:b dur:2 cpbdur:2 q:52.98 aq:47.17 tex:494 mv:1768 misc:994 imb:25 pmb:168 smb:7967 d:- ref:0 ;
in:20 out:18 type:P dur:2 cpbdur:2 q:53.10 aq:44.32 tex:3520 mv:2294 misc:1202 imb:254 pmb:93 smb:7813 d:- ref:0 ;
in:18 out:19 type:B dur:2 cpbdur:2 q:53.02 aq:47.06 tex:516 mv:1653 misc:1079 imb:26 pmb:186 smb:7948 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:53.06 aq:46.95 tex:446 mv:1681 misc:1001 imb:20 pmb:156 smb:7984 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:53.07 aq:45.19 tex:1287 mv:1425 misc:1120 imb:100 pmb:90 smb:7970 d:- ref:0 ;
